UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,hash_value
e0c253e9-eec4-4f22-bdad-800049ec1cac,1.0,OP,29.0,11.0,0.0,14.0,3.0,2.0,1.0,3.0,5.0,0.0,132.0,108.0,24.0,Steam Community,0.0,0.0,0.0,0.0,90.0,23.0,0.0,0.0,96.0,0.0,3.0,3.0,3.0,3.0,101.0,203.0,http://steamcomunity.aiq.ru/,11.0,1.0,0.0,20200702_1,1.0,4ac717b6c7acd95e4a22b202bffd7026d07d7201
5c7a8b8d-dfd1-4812-8c0b-ddbe373f212b,1.0,OP,139.0,8.0,0.0,60.0,18.0,13.0,5.0,3.0,16.0,0.0,358.0,189.0,169.0,Ð¡Ð¾Ð¾Ð±Ñ‰ÐµÑÑ‚Ð²Ð¾ Steam,4.0,0.0,1.0,0.0,412.0,28.0,0.0,0.0,96.0,50.0,3.0,4.0,5.0,3.0,319.0,1010.0,http://ceyssteam.bos.ru/,16.0,1.0,0.0,20200702_1,1.0,46549b46704b19de454321ad992731a4bdcae37d
90bf57f4-7b91-42e1-ba07-93bef9ca9863,1.0,OP,76.0,2.0,0.0,51.0,1.0,0.0,1.0,3.0,5.0,0.0,211.0,148.0,63.0,Webmail Login,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,39.0,153.0,http://itbgiso.keltron.in/ftra/pluhin/login/webmail/Webmail%20Login.php?,48.0,1.0,0.0,20200702_1,1.0,bae8dd592a5eaa6d766165bcc5e37af6be9072d7
cf6392a3-0d42-4237-a64d-7ca1e4984da0,1.0,OP,14.0,2.0,0.0,3.0,10.0,8.0,2.0,1.0,5.0,0.0,58.0,36.0,22.0, Sign in,4.0,0.0,1.0,1.0,15.0,15.0,0.0,0.0,67.0,57.0,7.0,7.0,7.0,4.0,420.0,910.0,http://durableonline.com.sg/lgs/appsuite/index.html,0.0,1.0,1.0,20200702_1,1.0,32b7f938de7f1d31f480f9f7b666649a92a12e75
97ba2b11-137f-4386-94f7-3a8367417d09,1.0,OP,13.0,1.0,0.0,7.0,2.0,0.0,2.0,1.0,9.0,0.0,88.0,70.0,18.0,Zimbra Web Client Sign In,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,75.0,0.0,2.0,2.0,2.0,2.0,31.0,76.0,http://statesbi.com/gt/zimbra/index.php,6.0,1.0,0.0,20200702_1,1.0,baa68680ee59c03b62874edb5c99116e9cdf3ffb
f549b116-dac1-4daa-a76a-e5473941a177,1.0,OP,62.0,0.0,0.0,6.0,7.0,6.0,1.0,3.0,4.0,0.0,106.0,56.0,50.0,Microsoft Office,0.0,0.0,0.0,0.0,34.0,11.0,0.0,0.0,100.0,50.0,1.0,1.0,1.0,1.0,659.0,949.0,http://unruffled-bardeen-460a6d.netlify.app/,0.0,1.0,0.0,20200702_1,1.0,750947ccad02173a279bb99a356704b6048adeab
f17e51e7-8257-4695-a0e9-142275ab6980,1.0,OP,18.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,65.0,37.0,28.0,"GMX: E-Mail-Adresse, FreeMail, De-Mail & Nachrichten",0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,100.0,0.0,2.0,3.0,2.0,2.0,120.0,356.0,https://matque.com/gmx.net/pc_page.mail.freemail.hero_1.homepage-preiswertefahrzeuge@gmx.de.html,0.0,1.0,0.0,20200702_1,1.0,62042ccd779525acb1357b5765bde9f1d715a681
2cd6cd98-2901-40df-ae10-26467ab39c8a,1.0,OP,70.0,4.0,1.0,23.0,10.0,7.0,3.0,1.0,14.0,0.0,176.0,94.0,82.0,Ð”Ð¾Ð±Ñ€Ð¾ Ð¿Ð¾Ð¶Ð°Ð»Ð¾Ð²Ð°Ñ‚ÑŒ | Ð’ÐšÐ¾Ð½Ñ‚Ð°ÐºÑ‚Ðµ,1.0,1.0,0.0,0.0,19.0,14.0,0.0,0.0,7.0,0.0,2.0,3.0,2.0,1.0,93.0,90.0,http://facebook.webservis.ru/,1.0,1.0,0.0,20200702_1,1.0,54f83acb628eef09a2e78bd286cb619bc9866504
3b94311e-e47f-4b8b-a134-132223ac7133,1.0,OP,2.0,2.0,0.0,3.0,5.0,0.0,5.0,1.0,3.0,0.0,87.0,87.0,0.0,Email Settings | Verification,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,42.0,51.0,http://smndazi.000webhostapp.com/englishhss/englishhss/crypt/connect.html,0.0,0.0,0.0,20200702_1,1.0,c7e605a1c9dcbd14afab4876aeb481771e432c06
4beb1985-fbfe-4d5f-bc9c-8925c3a33214,1.0,OP,60.0,3.0,1.0,21.0,7.0,4.0,3.0,1.0,12.0,0.0,152.0,97.0,55.0,Ð”Ð¾Ð±Ñ€Ð¾ Ð¿Ð¾Ð¶Ð°Ð»Ð¾Ð²Ð°Ñ‚ÑŒ,2.0,2.0,1.0,0.0,22.0,15.0,0.0,0.0,93.0,0.0,3.0,4.0,3.0,1.0,162.0,540.0,http://young.hop.ru/,12.0,1.0,0.0,20200702_1,1.0,2cf8e797cab420a46c00d6bee787f93fe4aaa8bc
1a58675f-c4df-43f4-afc1-0dcf15689df8,1.0,OP,10.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,34.0,32.0,"(1) New File | Secure File Sharing, Storage and Collaboration",1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,94.0,75.0,4.0,4.0,4.0,3.0,272.0,458.0,https://tacticalhvac.net/docs/FILE/,0.0,0.0,0.0,20200702_1,0.0,86970b47a56a3dbc58b23e454286df344e7f3981
de92bc8b-e972-4dc5-a9a7-beb99f1a2991,1.0,OP,14.0,4.0,1.0,5.0,13.0,0.0,13.0,1.0,18.0,0.0,161.0,136.0,25.0,Gmail,0.0,0.0,0.0,0.0,59.0,10.0,0.0,0.0,10.0,80.0,4.0,5.0,5.0,2.0,60.0,104.0,http://whare.100webspace.net/joomla/plugins/fm.htm,5.0,1.0,0.0,20200702_1,1.0,567387edc32e92907702b17ca53ccc9d84753bd1
c5102fcc-9166-4a53-aede-a712441add44,1.0,OP,46.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,89.0,73.0,16.0,TRACK Express,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,398.0,394.0,http://2c3262d59d2716553.tempsite.link/Z0FE3F3AZS2AZ3/64542E98RD5A6DSAZF5R8RZ/6DE3ZF6RZGZED5/TRY+FZFPFEZMD/TRACKINGNUMBER/,0.0,0.0,0.0,20200702_1,1.0,bc4485b07ae3b248669346700cd6531d32880e81
4b416989-8e4a-4af0-9209-e082b9f6c39d,1.0,OP,50.0,32.0,0.0,33.0,0.0,0.0,0.0,2.0,5.0,0.0,173.0,112.0,61.0,Etisalat - Personal - My Email,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,98.0,0.0,2.0,2.0,2.0,2.0,32.0,31.0,http://agrimetiersmartinique.fr/Savoir_plus/ss/Etisalat-update.htm,23.0,1.0,0.0,20200702_1,1.0,745f48501522fb65462607e32f50dcb7b834afe3
aeb73746-3e28-4826-aba8-d15bc146a81d,1.0,OP,61.0,2.0,1.0,66.0,2.0,0.0,2.0,2.0,5.0,0.0,310.0,100.0,210.0,Personal cloud storage - Microsoft OneDrive,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,100.0,67.0,5.0,6.0,6.0,2.0,174.0,435.0,https://linkedinprofile.nw.r.appspot.com/home.html,28.0,1.0,0.0,20200702_1,0.0,11b653741059a9ee77932527610a7c99fa5589dc
4b5afb76-ac30-41f5-9abc-8aeebc40b516,1.0,OP,15.0,0.0,0.0,0.0,14.0,10.0,4.0,1.0,6.0,0.0,124.0,109.0,15.0,Twitter,1.0,0.0,1.0,0.0,20.0,13.0,0.0,0.0,100.0,0.0,2.0,3.0,4.0,3.0,17.0,50.0,https://unfollowplus.com/oauth.php,0.0,1.0,0.0,20200702_1,1.0,ba4209b843c19188619dca8a338694d87896d9dd
23742cd0-fb61-4f57-a8cf-6256f2604d31,1.0,OP,69.0,5.0,0.0,46.0,0.0,0.0,0.0,3.0,5.0,0.0,239.0,100.0,139.0,Internal Revenue Service,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,102.0,604.0,http://valleyobgynassociates.com/wp-content/vp3/,0.0,1.0,0.0,20200702_1,1.0,8ace3158e7a53e8d9875a9bb731bbb30e05b8841
32b017c0-5b58-4e0e-bf91-e6e8e9291d44,1.0,OP,33.0,0.0,1.0,8.0,5.0,2.0,3.0,1.0,2.0,0.0,138.0,75.0,63.0,WeTransfer,0.0,0.0,0.0,0.0,16.0,35.0,0.0,0.0,100.0,0.0,1.0,1.0,2.0,1.0,1126.0,1123.0,https://onailsupply.com/cms/cms/include/downloads/files1497366477.php?email=,7.0,1.0,0.0,20200702_1,1.0,0675469827896176f126af927917ee6490a57811
65db6832-c6ce-428f-9685-8a71db22709d,1.0,OP,443.0,8.0,0.0,79.0,18.0,12.0,6.0,2.0,10.0,0.0,666.0,179.0,487.0,Steam Community,5.0,1.0,1.0,2.0,395.0,34.0,0.0,0.0,100.0,67.0,3.0,3.0,4.0,3.0,558.0,1308.0,https://ddotamoney.com/lrrh32ga29ygf6epe49rsdm3wo5zfc35,4.0,1.0,1.0,20200702_1,1.0,4f877c4f222867319f3decdaf7b10978673e5137
049296e6-b8ed-4e27-89e3-36531b3d3958,1.0,OP,193.0,3.0,4.0,55.0,6.0,3.0,3.0,6.0,34.0,2.0,650.0,202.0,448.0,Login on Twitter,0.0,0.0,0.0,0.0,19.0,29.0,0.0,0.0,24.0,67.0,3.0,3.0,4.0,2.0,892.0,3720.0,http://twowheelcool.com/twitter.com/login9ed2.html?lang=en,3.0,1.0,0.0,20200702_1,1.0,31a5502a767fb2de9dea89b964a83fa409361c2f
543cce1d-2dfa-43f1-9915-eacf3dd32185,1.0,OP,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,311.0,309.0,2.0,Please Update Your Cox Billing Information!,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,3.0,3.0,3.0,2.0,120.0,128.0,http://art-sticker.fr/humby/librairies/manual/3f505a921601c850fc6004328b9f9efe/way.php,0.0,1.0,0.0,20200702_1,1.0,94742cd9bfb24b2d4f515b3d590c3fc84adade6f
b0b8b412-207c-43aa-a840-aef63485fb96,1.0,OP,31.0,3.0,0.0,9.0,3.0,2.0,1.0,1.0,3.0,0.0,86.0,36.0,50.0,Documentation,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,7.0,100.0,4.0,4.0,4.0,2.0,589.0,592.0,http://chasetheshotuk.co.uk/modules/pagesnotfound/365/Office365-K/Microsoftdocs,0.0,1.0,0.0,20200702_1,1.0,ac22a40f87b29a3703dd39f1d0ae5a2aa5e7e097
04d76503-b254-45b1-923c-2238280e5aab,1.0,OP,10.0,2.0,0.0,6.0,4.0,4.0,0.0,1.0,2.0,0.0,65.0,44.0,21.0,Sign in to your account,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,93.0,75.0,8.0,9.0,9.0,4.0,430.0,931.0,http://3754udrdgvu.gb.net/bvfujgccjj/?u6gyuhb=g8gy87,1.0,1.0,0.0,20200702_1,1.0,e7d585b85d53d01498ddf14bbfb1ac3e5b7c5806
2bc76393-3207-4995-aa31-ebfc9b2cdcbc,1.0,OP,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,63.0,63.0,0.0,Adobe Document Cloud,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,151.0,152.0,http://multicarepayroll.com/assets/global/scripts/1/Error.php?1st=,0.0,0.0,0.0,20200702_1,1.0,ef5351894e77ac1298778678578266abf9432b31
26da653c-337f-42bf-a96d-6de6a9ead90f,1.0,OP,314.0,11.0,0.0,140.0,15.0,6.0,9.0,4.0,12.0,0.0,599.0,182.0,417.0,ç™»å½•,0.0,0.0,0.0,0.0,107.0,35.0,0.0,0.0,100.0,0.0,2.0,2.0,2.0,2.0,939.0,1384.0,http://steampoweroesb.me/login,97.0,1.0,0.0,20200702_1,1.0,f886bc56ec29c6a332a4f91f68403722c89af97a
a328ef71-79e3-4059-9de4-552d24780784,1.0,OP,64.0,2.0,3.0,11.0,1.0,0.0,1.0,2.0,45.0,0.0,188.0,124.0,64.0,Einloggen oder neu anmelden | eBay,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,80.0,0.0,2.0,3.0,2.0,2.0,42.0,75.0,http://autoverwertung-kauder.de/img/common/newSignIn.html,8.0,1.0,0.0,20200702_1,1.0,172522084a33b191778eaa8ba4d136bb532fb083
744ffb08-af6d-468a-9abe-5abc2e8a1aaf,1.0,OP,34.0,42.0,0.0,45.0,0.0,0.0,0.0,2.0,8.0,0.0,195.0,110.0,85.0,"PayPal: Switzerland bezahlen, Zahlungen empfangen & Geld senden",0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,17.0,0.0,3.0,3.0,4.0,2.0,765.0,5333.0,http://jamaicaprestigerooms.com/includes/filetransfer/updatedsss/,0.0,1.0,0.0,20200702_1,1.0,563c3b37b0553faf36d823d40fc31b58b59443a4
5a318930-77e0-413e-91ae-2b34adc60bf6,1.0,OP,21.0,3.0,0.0,24.0,21.0,13.0,8.0,1.0,5.0,0.0,111.0,105.0,6.0,OurTime.com - The 50+ Single Network,0.0,0.0,0.0,0.0,65.0,26.0,0.0,0.0,92.0,70.0,10.0,10.0,10.0,4.0,328.0,1189.0,http://hleia.com/member.html,9.0,1.0,0.0,20200702_1,1.0,9bdfd03e6d3a272caebbc547d5ae697f142d25d9
7bddc627-dbd8-4c9a-a550-43c494fc57a3,1.0,OP,19.0,8.0,0.0,18.0,7.0,3.0,4.0,1.0,7.0,0.0,94.0,66.0,28.0,CenturyLinkâ„¢ Secure Login,0.0,0.0,0.0,0.0,26.0,13.0,0.0,0.0,85.0,0.0,3.0,5.0,4.0,3.0,43.0,84.0,http://sieuthinha.com/upload/embarqmail.com.html,11.0,1.0,0.0,20200702_1,1.0,947021e14458b3140c900cca84e1619a4dae7e45
fcb1e96d-e77d-45c4-9ecf-6a10e51a1bd5,1.0,OP,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,310.0,308.0,2.0,Kindly Update Your 0ptimum Billing Service,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,3.0,3.0,3.0,3.0,101.0,109.0,http://nortiainteriors.com.au/wp-content/plugins/fresco-master/js/61cdb4adfa677f735fd0e0e40c12abd2/way.php,0.0,1.0,0.0,20200702_1,1.0,71ab424c92a8e295ec51d3f6f2d25c922326ee5b
c1ba26b0-593d-4d6a-9422-e8b49259807c,1.0,OP,19.0,2.0,0.0,1.0,10.0,8.0,2.0,1.0,1.0,0.0,72.0,41.0,31.0,Mimecast Login,1.0,0.0,1.0,0.0,10.0,32.0,0.0,0.0,100.0,50.0,3.0,4.0,4.0,3.0,839.0,1175.0,https://being-in-contact.de/c/mime.php,1.0,1.0,0.0,20200702_1,1.0,d2441a91aed5f351a5e2f013eac987953d7798ae
b2153eab-790f-4b06-bc73-0d23a4e66593,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,100.0,0.0,5.0,8.0,7.0,3.0,963.0,1618.0,https://hasmob.com/ngozi/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,824a8526a87ccb3c8b4774f537a7c76eff1c3076
b8fc0f1d-56ad-483f-b1af-3ea7364e7a80,1.0,OP,41.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,22.0,0.0,100.0,71.0,29.0,Sign in to your account,1.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,100.0,50.0,2.0,2.0,2.0,2.0,1359.0,3478.0,https://deta-elis-health.com/file/,0.0,1.0,1.0,20200702_1,1.0,56d47d3758e2534ebfc39c8e66453a4086d3a79d
428788ca-c636-465f-83d0-1f51d3dd44f9,1.0,OP,8.0,2.0,0.0,4.0,10.0,7.0,3.0,1.0,3.0,0.0,55.0,41.0,14.0,Ad0be Document Cloud - Start Download.,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,119.0,199.0,http://suraseyidova.com/report/login.php,1.0,0.0,0.0,20200702_1,1.0,45295fe1c2e5b1800421f12e9653e91c1c1cbcb5
cd4ee86f-34d2-4b27-954d-76da72a3a20a,1.0,OP,38.0,3.0,1.0,6.0,3.0,1.0,2.0,2.0,22.0,0.0,95.0,62.0,33.0,Sign in to your account,8.0,8.0,4.0,6.0,5.0,8.0,0.0,0.0,100.0,60.0,5.0,5.0,6.0,4.0,70.0,258.0,https://secure-login-portal-outlook.el.r.appspot.com/e-mail/,4.0,1.0,4.0,20200702_1,1.0,0b38bba22250f7daedc1501b1878935476ff7c72
cf73ece3-0763-48db-892f-98df975e3841,1.0,OP,33.0,0.0,1.0,11.0,7.0,2.0,5.0,1.0,4.0,0.0,107.0,26.0,81.0,Login - 1&1 IONOS,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,50.0,0.0,2.0,2.0,2.0,2.0,292.0,393.0,http://fountainofhope.com/wordpress/api/news/,0.0,1.0,0.0,20200702_1,1.0,6b16330160272b978e0d171d299ca04359ca4840
ad0a7809-693e-42a8-8caa-727639e8fa27,1.0,OP,57.0,0.0,0.0,9.0,7.0,5.0,2.0,1.0,12.0,0.0,145.0,66.0,79.0,PayPal: Summary,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,10.0,67.0,3.0,3.0,3.0,2.0,811.0,1394.0,http://customtllc.com/Summary/summary/index.php,0.0,1.0,0.0,20200702_1,1.0,be14d8484bc4f13ae28f6bdc0e7f3966c5378c14
a2f796bc-6b82-4564-ab57-6ea9c7a343bd,1.0,OP,43.0,1.0,0.0,9.0,3.0,2.0,1.0,1.0,6.0,0.0,105.0,43.0,62.0,AutoScout24 - Loggen Sie sich hier ein,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,684.0,698.0,http://my-tee-shirt.com/autoscout24.de/,9.0,1.0,0.0,20200702_1,1.0,ac3ecb378118f6a6f4084f14e773d711ba1f059f
46b4a1f9-15b9-4cd8-bd01-cdc92ecf4594,1.0,OP,12.0,6.0,0.0,2.0,6.0,2.0,4.0,1.0,4.0,0.0,97.0,76.0,21.0,DHL EXPRESS,1.0,0.0,1.0,0.0,18.0,11.0,0.0,0.0,18.0,75.0,4.0,4.0,4.0,3.0,230.0,367.0,http://fanxtv.info/ujk/,1.0,0.0,0.0,20200702_1,1.0,15e9c14023b6b822d03853a20fe5af3eaf45a7c5
9c854ef1-3bb8-4b91-9c6b-5736902d3274,1.0,OP,19.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,63.0,24.0,39.0,HÃ¤ndler-Login,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,43.0,100.0,3.0,3.0,3.0,2.0,46.0,281.0,https://my-tee-shirt.com/mobile.de/a2/login/,0.0,1.0,0.0,20200702_1,1.0,accae365bbae8a1b093b065fa5df7cb8911f5487
